open,close,high,low,value,volume,begin,end,ticker
4542.0,4148.5,4542.0,4100.0,22320577653.5,5300782,2024-07-24 00:00:00,2024-07-24 23:59:59,YDEX
4153.5,4137.5,4186.0,4070.0,7829606352.0,1905603,2024-07-25 00:00:00,2024-07-25 23:59:59,YDEX
4137.5,3962.5,4176.5,3931.0,16904130984.5,4187989,2024-07-26 00:00:00,2024-07-26 23:59:59,YDEX
3935.0,3867.0,3935.0,3783.0,18208188588.0,4730950,2024-07-29 00:00:00,2024-07-29 23:59:59,YDEX
3917.0,3910.0,3949.0,3809.0,15843727512.5,4070128,2024-07-30 00:00:00,2024-07-30 23:59:59,YDEX
3915.5,3892.0,3954.5,3865.5,7830245296.5,2007544,2024-07-31 00:00:00,2024-07-31 23:59:59,YDEX
3895.0,3871.5,3921.0,3861.0,4780686748.0,1226606,2024-08-01 00:00:00,2024-08-01 23:59:59,YDEX
3871.5,3728.5,3874.0,3726.0,9903454083.0,2611364,2024-08-02 00:00:00,2024-08-02 23:59:59,YDEX
3605.5,3585.0,3657.0,3551.0,13833300061.0,3840829,2024-08-05 00:00:00,2024-08-05 23:59:59,YDEX
3643.0,3644.0,3700.0,3564.0,8526866247.0,2341885,2024-08-06 00:00:00,2024-08-06 23:59:59,YDEX
3661.5,3854.0,3876.0,3605.0,16375286919.0,4359542,2024-08-07 00:00:00,2024-08-07 23:59:59,YDEX
3860.0,3828.0,3929.5,3790.5,13650847754.0,3522485,2024-08-08 00:00:00,2024-08-08 23:59:59,YDEX
3826.0,3854.5,3870.5,3792.5,4317354418.0,1123907,2024-08-09 00:00:00,2024-08-09 23:59:59,YDEX
3829.0,3923.0,3923.0,3805.5,6430124026.0,1658809,2024-08-12 00:00:00,2024-08-12 23:59:59,YDEX
3938.0,3911.0,3964.0,3903.5,4388712872.5,1118537,2024-08-13 00:00:00,2024-08-13 23:59:59,YDEX
3915.0,3831.5,3929.0,3825.0,3870788320.0,996717,2024-08-14 00:00:00,2024-08-14 23:59:59,YDEX
3832.0,3828.0,3860.0,3783.0,4323806429.0,1129756,2024-08-15 00:00:00,2024-08-15 23:59:59,YDEX
3828.5,3776.5,3856.0,3756.0,4132482329.0,1084178,2024-08-16 00:00:00,2024-08-16 23:59:59,YDEX
3799.0,3725.5,3825.0,3680.5,7133017020.0,1905573,2024-08-19 00:00:00,2024-08-19 23:59:59,YDEX
3742.0,3753.0,3787.5,3683.5,4619093843.0,1234119,2024-08-20 00:00:00,2024-08-20 23:59:59,YDEX
3755.0,3836.5,3853.0,3712.5,5089330925.0,1344017,2024-08-21 00:00:00,2024-08-21 23:59:59,YDEX
